Date,AAPL,AMD,AMRN,AMZN,BABA,BAC,BB,FB,GLD,IWM,JNUG,MNKD,NFLX,PLUG,QQQ,SPY,TSLA,UVXY
2014-09-22 00:00:00+00:00,0.7065511640498106,0.6727272727272727,0.7747747747747747,0.5795454545454546,0.4626725953662532,0.8058252427184466,0.9176201372997712,0.6384839650145773,0.3303167420814479,0.0805369127516778,0.4852941176470588,0.7486338797814208,0.2222222222222222,0.6988416988416989,0.376,0.3748231966053748,0.4172839506172839,0.25
2014-09-23 00:00:00+00:00,0.729794933655006,0.3157894736842105,0.6491228070175439,0.3442622950819672,0.2779136104319478,0.7101449275362319,0.8137082601054482,0.5842696629213483,0.3194444444444444,0.2,0.514018691588785,0.5794392523364486,0.2424242424242424,0.6473988439306358,0.2903225806451613,0.3055028462998102,0.517948717948718,0.59375
2014-09-24 00:00:00+00:00,0.6650544135429263,0.4174757281553398,0.7049180327868853,0.36,0.2744924977934687,0.639344262295082,0.8526672311600338,0.7339667458432304,0.4222222222222222,0.2358803986710963,0.5324675324675324,0.897196261682243,0.3125,0.8530183727034121,0.323671497584541,0.3662337662337662,0.5555555555555556,0.2432432432432432
2014-09-25 00:00:00+00:00,0.5530903328050714,0.5918367346938775,0.7912087912087912,0.3417721518987341,0.7883817427385892,0.7142857142857143,0.7669902912621359,0.6985294117647058,0.3507853403141361,0.1889400921658986,0.6,0.84251968503937,0.2470588235294117,0.7607361963190185,0.4782608695652174,0.3384223918575064,0.3710247349823322,0.0120481927710843
2014-09-26 00:00:00+00:00,0.6217838765008576,0.2592592592592592,0.6778523489932886,-0.036144578313253,0.6031331592689295,0.6,0.7902097902097902,0.6785714285714286,0.488,0.2785714285714286,0.4709677419354838,0.8130841121495327,0.253012048192771,0.7415730337078652,0.2923076923076923,0.2971311475409836,0.4715447154471545,0.3653846153846153
2014-09-29 00:00:00+00:00,0.7282377919320594,0.45,0.7142857142857143,0.4174757281553398,0.7959927140255009,0.7538461538461538,0.8347578347578347,0.8107255520504731,0.5882352941176471,0.3607305936073059,0.5912408759124088,0.7715430861723447,0.5384615384615384,0.8132530120481928,0.4156378600823045,0.4622222222222222,0.4013605442176871,0.3541666666666667
2014-09-30 00:00:00+00:00,0.6442307692307693,0.3404255319148936,0.7590361445783133,0.2328767123287671,0.6049382716049383,0.7454545454545455,0.8040089086859689,0.8387096774193549,0.3375,0.3218390804597701,0.4796747967479675,0.8773006134969326,0.4216867469879518,0.9207920792079208,0.4619289340101523,0.4709480122324159,0.5607476635514018,0.1272727272727272
2014-10-01 00:00:00+00:00,0.6400862068965517,0.5588235294117647,0.6074766355140186,0.4426229508196721,0.4355400696864111,0.5925925925925926,0.7883817427385892,0.603112840466926,0.4074074074074074,0.2186836518046709,0.6111111111111112,0.755656108597285,0.2957746478873239,0.8325991189427313,0.2764505119453925,0.3511111111111111,0.2964426877470356,0.4864864864864865
2014-10-02 00:00:00+00:00,0.5274629468177855,0.3283582089552239,0.675,0.1707317073170731,0.470383275261324,0.6712328767123288,0.6466302367941712,0.5655172413793104,0.4098360655737705,0.1810344827586207,0.4693877551020408,0.7523809523809524,0.0551181102362204,0.8064516129032258,0.190031152647975,0.3022188217291507,0.6006144393241167,0.4032258064516129
2014-10-03 00:00:00+00:00,0.689922480620155,0.6041666666666666,0.7288135593220338,0.5308641975308642,0.7703703703703704,0.7333333333333333,0.8546255506607929,0.8288770053475936,0.3824884792626728,0.5694822888283378,0.3737373737373737,0.8249336870026526,0.6511627906976745,0.8709677419354839,0.7028571428571428,0.5931091058244463,0.7843866171003717,0.0935251798561151
2014-10-06 00:00:00+00:00,0.7054597701149425,0.550561797752809,0.794392523364486,0.4186046511627907,0.7178683385579937,0.8319327731092437,0.8370883882149047,0.6892230576441103,0.4794520547945205,0.3401360544217687,0.465863453815261,0.746031746031746,0.788235294117647,0.7542662116040956,0.6470588235294118,0.4720812182741117,0.7948717948717948,0.1914893617021276
2014-10-07 00:00:00+00:00,0.5151515151515151,0.3647058823529411,0.5384615384615384,0.2068965517241379,0.7037037037037037,0.6615384615384615,0.7833935018050542,0.7314814814814815,0.5771428571428572,0.3881278538812785,0.64375,0.7868852459016393,0.5294117647058824,0.6683937823834197,0.4886363636363636,0.2988165680473373,0.7580645161290323,0.3225806451612903
2014-10-08 00:00:00+00:00,0.5853018372703412,0.2580645161290322,0.7,0.1111111111111111,0.6284153005464481,0.6470588235294118,0.6892655367231638,0.4590163934426229,0.3984962406015037,0.1217183770883054,0.4617283950617284,0.6847826086956522,0.0384615384615384,0.9063231850117096,0.2765957446808511,0.2555746140651801,0.6531365313653137,0.4354838709677419
2014-10-09 00:00:00+00:00,0.8234536082474226,0.4317180616740088,0.5794392523364486,0.6,0.8052434456928839,0.6036036036036037,0.8186968838526912,0.6526946107784432,0.5405405405405406,0.4891566265060241,0.7809983896940419,0.696078431372549,0.6438356164383562,0.8603603603603603,0.5340909090909091,0.4915938130464021,0.6235294117647059,0.0526315789473684
2014-10-10 00:00:00+00:00,0.6041848299912816,0.4412955465587044,0.8360655737704918,0.2072072072072072,0.7127659574468085,0.6491228070175439,0.8360655737704918,0.5307692307692308,0.4035087719298245,0.1111111111111111,0.68,0.6109839816933639,0.3592233009708738,0.8690476190476191,0.1847826086956521,0.3548387096774194,0.5073115860517435,0.3191489361702128
